claim_id,monto_fraude,MARCA_VEHICULO_te,lag_dias,PRIMA_MENSUAL_UF,PRODUCTO_te,ANIO_VEHICULO,CANTIDAD_HIJOS,fraude_bin
2,0,0.05421686746987952,2,1.197945205479452,0.03978422117329737,2024,1,0
5,0,0.014124293785310734,1,0.4158904109589041,0.03022508038585209,2019,2,0
6,0,0.021897810218978103,3,0.6810533515731874,0.024242424242424242,2023,0,0
12,0,0.050590219224283306,2,0.7923287671232876,0.03163686382393398,2023,0,0
18,0,0.050590219224283306,2,0.4717510875512995,0.031151003167898626,2007,0,0
19,0,0.03571428571428571,45,1.2184426229508196,0.03978422117329737,2022,0,0
20,0,0.03003419277323237,1,0.5523287671232876,0.011505273250239693,2012,0,0
21,0,0.05049088359046283,41,0.7307377049180327,0.03978422117329737,2022,0,0
24,0,0.02022058823529412,1,0.1561475409836065,0.011505273250239693,2024,0,0
29,0,0.030034192773311156,3,0.3793150684931506,0.011505273250239693,1998,3,0
31,0,0.041666666666666664,3,0.595890410958904,0.03163686382393398,2020,0,0
32,0,0.017064846416382253,1,0.9857729138166894,0.012345679012345678,2023,0,0
34,0,0.050590219224283306,7,0.5090973119015046,0.031151003167898626,2018,0,0
35,0,0.025,1,1.195890410958904,0.031151003167898626,2018,0,0
42,0,0.016853932584269662,6,0.63406292749658,0.03163686382393398,2024,0,0
46,0,0.021897810218978103,13,0.7532876712328767,0.03978422117329737,2022,0,0
50,0,0.050590219224283306,0,0.4348360655737704,0.03163686382393398,2022,3,0
58,0,0.018867924528301886,2,1.6155737704918032,0.03978422117329737,2022,2,0
59,0,0.015228426395939087,0,2.0455414012738853,0.023809523809523808,2024,0,0
62,0,0.05049088359046283,1,0.7760655737704918,0.03022508038585209,2022,0,0
65,0,0.025,3,0.6936986301369863,0.03978422117329737,2014,1,0
67,0,0.02022058823529412,0,0.3472602739726027,0.031151003167898626,2017,0,0
70,0,0.014124293785310734,0,0.701917808219178,0.031151003167898626,2022,0,0
73,0,0.024096385542168676,4,1.8176470588235296,0.03937947494033413,2023,0,0
74,0,0.0392156862745098,1,0.4469221272229822,0.031151003167898626,2011,0,0
80,0,0.020151133501259445,0,0.5614754098360655,0.04307116104868914,2022,0,0
82,0,0.017064846416382253,41,0.8147540983606557,0.03022508038585209,2022,0,0
84,0,0.014124293785310734,0,0.7475342465753424,0.031151003167898626,2020,0,0
85,42322,0.044715447154471545,0,1.1192622950819673,0.03978422117329737,2024,1,1
88,0,0.05049088359046283,0,1.9496851232876713,0.03022508038585209,2024,0,0
94,0,0.03184713375796178,2,0.606967213114754,0.03022508038585209,2017,3,0
96,0,0.017064846416382253,2,0.9066687209302324,0.031151003167898626,2020,0,0
100,0,0.020151133501259445,2,0.5876712328767123,0.023809523809523808,2018,2,0
104,0,0.0440251572327044,4,1.4446069315068493,0.04307116104868914,2022,2,0
108,0,0.02680965147453083,13,0.5284931506849315,0.03022508038585209,2010,0,0
110,0,0.014124293785310734,29,0.9283561643835616,0.031151003167898626,2023,0,0
121,0,0.0440251572327044,9,0.8058904109589041,0.03022508038585209,2020,0,0
126,0,0.021897810218978103,2,1.6867305061559508,0.024242424242424242,2023,2,0
128,0,0.021897810218978103,1,1.988630136986301,0.03978422117329737,2022,0,0
132,0,0.03676470588235294,1,0.7864754098360655,0.03978422117329737,2022,0,0
135,0,0.02680965147453083,0,0.8030136986301369,0.031151003167898626,2019,1,0
137,0,0.02022058823529412,1,0.6302054794520547,0.03163686382393398,2024,0,0
140,0,0.041666666666666664,0,1.29986301369863,0.023809523809523808,2016,1,0
141,0,0.047013333853124305,8,0.3708791208791208,0.03022508038585209,2019,1,0
144,0,0.021897810218978103,1,0.6422131147540983,0.031151003167898626,2018,3,0
150,0,0.050590219224283306,0,0.4693150684931506,0.031151003167898626,2015,0,0
156,0,0.021897810218978103,1,0.6063611491108071,0.03937947494033413,2022,0,0
157,0,0.0176678445229682,2,0.7964383561643835,0.011505273250239693,2008,0,0
158,0,0.050590219224283306,1,0.5237671232876712,0.03163686382393398,2024,0,0
159,0,0.024096385542168676,2,1.1227397260273972,0.04307116104868914,2023,0,0
161,0,0.02022058823529412,6,0.3887671232876712,0.031151003167898626,2016,0,0
163,0,0.0176678445229682,2,0.5717213114754098,0.011505273250239693,2008,1,0
164,0,0.0176678445229682,1,1.6913934426229509,0.03978422117329737,2021,0,0
165,0,0.02888086642599278,5,0.6745901639344262,0.03978422117329737,2011,1,0
166,0,0.014124293785310734,4,0.5569469835466179,0.03978422117329737,2023,0,0
167,0,0.030034192773311156,2,0.2413934426229508,0.011505273250239693,2020,3,0
168,0,6.668930468592106e-18,4,1.1810958904109587,0.011505273250239693,2022,0,0
