CLAIM_ID|FEC_DENUNCIO|FEC_SINIESTRO|PRODUCTO|ROBO|MARCA_VEHICULO|ANIO_VEHICULO|DEDUCIBLE|PRIMA_MENSUAL_UF|FRAUD|MONTO_FRAUDE|CANAL_CONTRATACION|CANTIDAD_HIJOS|CANTIDAD_AUTOS|ESTADO_CIVIL
1|2024-10-10 00:00:00.000|2024-10-04 00:00:00.000|95.0|0|BMW|2022.0|10|2.9880410958904107|No revisado|0|D|1.0||Soltero/a
2|2024-10-10 00:00:00.000|2024-10-08 00:00:00.000|3.0|0|MAXUS|2024.0|5|1.197945205479452|Descartado|0|D|1.0||Divorciado/a
3|2024-10-10 00:00:00.000|2024-09-16 00:00:00.000|3.0|0|CHERY|2024.0|0|0.446656050955414|No revisado|0|D|0.0||Casada/o
4|2024-10-10 00:00:00.000|2024-10-09 00:00:00.000|96.0|0|RENAULT|2022.0|5|0.8576712328767123|No revisado|0|C|1.0||Casada/o
5|2024-10-10 00:00:00.000|2024-10-09 00:00:00.000|74.0|0|MG|2019.0|3|0.4158904109589041|Descartado|0|C|2.0||Divorciado/a
6|2024-10-10 00:00:00.000|2024-10-07 00:00:00.000|94.0|0|TOYOTA|2023.0|5|0.6810533515731874|Descartado|0|A|0.0||Casada/o
7|2024-10-10 00:00:00.000|2024-10-03 00:00:00.000|74.0|0|MERCEDES BENZ|2019.0|3|1.278904109589041|No revisado|0|A|0.0||Divorciado/a
8|2024-10-10 00:00:00.000|2024-10-09 00:00:00.000|69.0|0|CITROEN|2013.0|5|0.4226712328767123|No revisado|0|D|0.0||Soltero/a
9|2024-10-10 00:00:00.000|2024-10-09 00:00:00.000|90.0|0|PEUGEOT|2017.0|0|0.724931506849315|No revisado|0|C|1.0||Divorciado
10|2024-10-10 00:00:00.000|2024-10-08 00:00:00.000|94.0|0|TOYOTA|2023.0|3|0.9385772913816688|No revisado|0|B|0.0||Casada
11|2024-10-10 00:00:00.000|2024-10-09 00:00:00.000|69.0|0|RAM|2023.0|0|2.4865068493150684|No revisado|0|A|0.0||Casada/o
12|2024-10-10 00:00:00.000|2024-10-08 00:00:00.000|96.0|0|SUZUKI|2023.0|5|0.7923287671232876|Descartado|0|D|||Casada/o
13|2024-10-10 00:00:00.000|2024-10-09 00:00:00.000|69.0|0|MAZDA|2016.0|10|0.7586301369863013|No revisado|0|C|0.0||Casada
14|2024-10-10 00:00:00.000||3.0|0|JEEP|2014.0|0|0.5946721311475409|No revisado|0|B|0.0||Casada/o
15|2024-10-10 00:00:00.000|2024-10-04 00:00:00.000|69.0|0|NISSAN|2013.0|3|0.4857534246575342|No revisado|0|E|0.0||Divorciado/a
16|2024-10-10 00:00:00.000|2024-10-06 00:00:00.000|85.0|0|SCANIA|2018.0|100|1.723972602739726|No revisado|0|D|999.0||Casada
17|2024-10-10 00:00:00.000|2024-10-09 00:00:00.000|91.0|0|PEUGEOT|2024.0|10|1.0426128590971273|No revisado|0|C|||Divorciado
18|2024-10-10 00:00:00.000|2024-10-08 00:00:00.000|69.0|0|SUZUKI|2007.0|3|0.4717510875512995|Descartado|0|D|0.0||Divorciado
19|2024-10-10 00:00:00.000|2024-08-26 00:00:00.000|3.0|0||2022.0|0|1.2184426229508196|Descartado|0|D|0.0||Soltero/a
20|2024-10-10 00:00:00.000|2024-10-09 00:00:00.000|85.0|0|INTERNATIONAL|2012.0|0|0.5523287671232876|Descartado|0|C|0.0||Casada/o
21|2024-10-10 00:00:00.000|2024-08-30 00:00:00.000|3.0|0|CHEVROLET|2022.0|0|0.7307377049180327|Descartado|0|B|0.0||Casada
22|2024-10-10 00:00:00.000|2024-10-01 00:00:00.000|3.0|0|NISSAN|2018.0|0|0.6557377049180327|No revisado|0|E|0.0||Casada/o
23|2024-10-10 00:00:00.000|2024-09-24 00:00:00.000|69.0|0|CHEVROLET|2009.0|3|0.7188524590163934|No revisado|0|B|0.0||Divorciado/a
