iter	Logloss
0	0.692933975
1	0.692691241
2	0.6925399058
3	0.6923422046
4	0.6921503778
5	0.6920211225
6	0.6918158962
7	0.6916208251
8	0.6914527677
9	0.691157742
10	0.6908252178
11	0.6906442648
12	0.6904197167
13	0.690184903
14	0.689937999
15	0.6896962703
16	0.6895372137
17	0.6892746207
18	0.6891242335
19	0.688847176
20	0.6884891653
21	0.6882663339
22	0.6880930933
23	0.687890951
24	0.6877896284
25	0.687494397
26	0.6873307634
27	0.6870174627
28	0.6867441271
29	0.6866543209
30	0.6865889558
31	0.6864414517
32	0.6863427948
33	0.6860799309
34	0.6858090712
35	0.6854781372
36	0.685393527
37	0.6852273963
38	0.685016824
39	0.6848042318
40	0.6846588273
41	0.684350665
42	0.68413391
43	0.6839547345
44	0.6838831856
45	0.6837030096
46	0.6834846009
47	0.6833817041
48	0.6831514106
49	0.682889157
50	0.6826361541
51	0.6823941953
52	0.6823379069
53	0.6821069293
54	0.6819687381
55	0.6818663793
56	0.6818018549
57	0.6816828246
58	0.6814780452
59	0.6812924497
60	0.6811000219
61	0.6808649479
62	0.6806696999
63	0.6805430773
64	0.6802714239
65	0.6801340659
66	0.679910961
67	0.6796582186
68	0.6794089306
69	0.6793381332
70	0.6791643059
71	0.6789019295
72	0.678675993
73	0.6784167252
74	0.6782952032
75	0.6780560877
76	0.6778796301
77	0.6777166489
78	0.6774387293
79	0.677184908
80	0.6770495102
81	0.6768801401
82	0.6764754595
83	0.6761722486
84	0.6760443396
85	0.6758729883
86	0.675547778
87	0.675341467
88	0.6751820602
89	0.6749773252
90	0.674713338
91	0.6745078015
92	0.6742988488
93	0.6740528777
94	0.6738643897
95	0.6737521968
96	0.6735824163
97	0.6733466521
98	0.6731243786
99	0.6729571197
100	0.6729068729
101	0.6726086234
102	0.6724824994
103	0.6722888912
104	0.6721663897
105	0.671963704
106	0.6718101562
107	0.6716507723
108	0.6714649857
109	0.6711850819
110	0.6710068354
111	0.67086276
112	0.6706459719
113	0.6704877276
114	0.6703005692
115	0.6701185157
116	0.6698378978
117	0.6694681099
118	0.6693941794
119	0.6692346565
120	0.6690371386
121	0.668804885
122	0.6686722802
123	0.668366398
124	0.6681424007
125	0.6680504407
126	0.6679508955
127	0.6677792797
128	0.6674770435
129	0.6672519042
130	0.666998919
131	0.6668083716
132	0.6665989533
133	0.6663830841
134	0.666260128
135	0.6660639198
136	0.6658269477
137	0.6657015408
138	0.66549475
139	0.6652347694
140	0.6650235023
141	0.664822699
142	0.6646715566
143	0.6645369305
144	0.6643315444
145	0.6641061294
146	0.6637941747
147	0.6635679301
148	0.6633864204
149	0.6632514153
150	0.6630243081
151	0.6627512315
152	0.6625950789
153	0.6624159711
154	0.6622773617
155	0.6621894619
156	0.6620142849
157	0.6617479968
158	0.6616074718
159	0.6615468998
160	0.6612894476
161	0.6611640015
162	0.6609607936
163	0.6609003541
164	0.6608038545
165	0.6605240862
166	0.6604400893
167	0.6602627922
168	0.6600957353
169	0.6598432528
170	0.6596834624
171	0.6595203221
172	0.6593405014
173	0.6592492655
174	0.6590515266
175	0.6588660498
176	0.6586268669
177	0.6585034855
178	0.658162685
179	0.6580107842
180	0.6578157187
181	0.6576084282
182	0.6574236577
183	0.6572775454
184	0.6571195013
185	0.6569263318
186	0.6567595596
187	0.6565662363
188	0.6563846623
189	0.6562109824
190	0.6560038733
191	0.6557609571
192	0.655492666
193	0.6552521401
194	0.6549324865
195	0.6546400788
196	0.6545487948
197	0.6543582935
198	0.6542058122
199	0.6539102871
