iter	Passed	Remaining
0	1	379
1	3	352
2	5	341
3	6	334
4	8	334
5	10	330
6	11	329
7	13	325
8	15	324
9	17	323
10	18	322
11	20	320
12	22	318
13	23	317
14	25	316
15	27	314
16	28	311
17	30	309
18	32	307
19	33	305
20	35	303
21	37	301
22	38	299
23	40	297
24	41	293
25	43	292
26	45	290
27	47	289
28	48	287
29	49	282
30	50	276
31	52	273
32	53	269
33	54	268
34	56	267
35	58	266
36	59	262
37	61	261
38	63	260
39	64	258
40	66	257
41	68	257
42	70	256
43	71	254
44	72	250
45	74	249
46	76	247
47	77	244
48	78	242
49	80	241
50	82	239
51	83	238
52	84	234
53	86	233
54	87	231
55	89	229
56	90	227
57	91	224
58	93	223
59	95	222
60	96	220
61	98	219
62	100	217
63	101	216
64	103	215
65	105	213
66	106	212
67	108	210
68	110	209
69	111	206
70	112	204
71	114	203
72	116	202
73	117	200
74	119	199
75	121	197
76	122	196
77	124	194
78	126	193
79	128	192
80	129	190
81	131	189
82	133	187
83	134	186
84	136	184
85	138	183
86	139	181
87	141	179
88	143	178
89	144	176
90	146	175
91	148	173
92	149	172
93	151	170
94	152	169
95	154	167
96	156	165
97	157	164
98	159	162
99	161	161
100	161	158
101	163	157
102	165	155
103	166	154
104	168	152
105	170	151
106	172	149
107	173	148
108	175	146
109	177	145
110	178	143
111	180	141
112	182	140
113	184	138
114	185	137
115	187	135
116	189	134
117	190	132
118	191	130
119	193	129
120	195	127
121	196	125
122	198	124
123	200	122
124	201	121
125	203	119
126	204	117
127	205	115
128	207	114
129	209	112
130	210	111
131	212	109
132	214	107
133	215	106
134	217	104
135	219	103
136	221	101
137	222	100
138	224	98
139	226	96
140	227	95
141	229	93
142	231	92
143	232	90
144	234	88
145	236	87
146	238	85
147	239	84
148	241	82
149	243	81
150	244	79
151	246	77
152	248	76
153	249	74
154	251	73
155	252	71
156	254	69
157	255	68
158	257	66
159	258	64
160	260	63
161	261	61
162	263	59
163	264	58
164	266	56
165	268	54
166	269	53
167	271	51
168	273	50
169	274	48
170	276	46
171	278	45
172	279	43
173	281	42
174	282	40
175	284	38
176	286	37
177	288	35
178	289	34
179	291	32
180	293	30
181	295	29
182	296	27
183	298	25
184	300	24
185	301	22
186	303	21
187	305	19
188	306	17
189	308	16
190	310	14
191	311	12
192	313	11
193	315	9
194	316	8
195	318	6
196	319	4
197	321	3
198	323	1
199	324	0
