iter	Passed	Remaining
0	1	333
1	3	335
2	5	332
3	6	329
4	8	327
5	10	330
6	11	328
7	13	326
8	15	324
9	17	323
10	18	324
11	20	321
12	22	318
13	23	316
14	25	314
15	27	313
16	28	310
17	30	308
18	32	306
19	33	304
20	35	303
21	37	303
22	39	301
23	40	299
24	42	294
25	43	293
26	45	292
27	47	289
28	48	287
29	50	283
30	50	277
31	52	273
32	53	269
33	55	269
34	56	267
35	58	267
36	59	263
37	61	261
38	63	260
39	64	258
40	66	256
41	67	254
42	69	252
43	70	250
44	71	246
45	73	245
46	74	243
47	75	240
48	77	239
49	79	238
50	81	236
51	82	235
52	83	232
53	85	230
54	87	229
55	88	227
56	89	224
57	90	222
58	92	221
59	94	220
60	95	218
61	97	217
62	99	216
63	101	215
64	102	213
65	104	212
66	106	211
67	108	209
68	109	208
69	110	206
70	112	204
71	114	203
72	116	201
73	117	200
74	119	199
75	121	198
76	123	197
77	124	195
78	126	194
79	128	192
80	130	191
81	132	190
82	134	189
83	135	187
84	137	185
85	138	183
86	140	182
87	142	180
88	143	179
89	145	177
90	147	176
91	149	175
92	151	173
93	152	172
94	154	170
95	156	169
96	158	167
97	159	166
98	161	164
99	162	162
100	163	160
101	165	159
102	167	157
103	169	156
104	170	154
105	172	153
106	174	151
107	176	150
108	177	148
109	179	146
110	181	145
111	183	143
112	184	142
113	186	140
114	188	139
115	189	137
116	191	136
117	193	134
118	194	132
119	196	130
120	198	129
121	199	127
122	201	126
123	203	124
124	205	123
125	206	121
126	207	119
127	209	117
128	211	116
129	213	114
130	214	113
131	216	111
132	218	110
133	220	108
134	221	106
135	223	105
136	225	103
137	227	102
138	228	100
139	230	98
140	232	97
141	234	95
142	235	93
143	237	92
144	239	90
145	241	89
146	242	87
147	244	85
148	246	84
149	247	82
150	249	81
151	251	79
152	253	77
153	254	76
154	256	74
155	257	72
156	259	70
157	260	69
158	262	67
159	263	65
160	265	64
161	267	62
162	268	61
163	269	59
164	271	57
165	273	55
166	275	54
167	276	52
168	278	51
169	280	49
170	281	47
171	283	46
172	285	44
173	286	42
174	288	41
175	290	39
176	291	37
177	293	36
178	295	34
179	296	32
180	298	31
181	300	29
182	301	28
183	303	26
184	305	24
185	307	23
186	308	21
187	310	19
188	313	18
189	314	16
190	316	14
191	317	13
192	319	11
193	321	9
194	323	8
195	324	6
196	326	4
197	327	3
198	329	1
199	331	0
